open_time,Open,High,Low,Close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-10-18,0.02573,0.02610,0.02565,0.02592,275765963,2020-10-18 23:59:59.999,7127258.67801,212071,139337126,3602528.32471,0
2020-10-19,0.02593,0.02615,0.02565,0.02589,562367878,2020-10-19 23:59:59.999,14557433.02802,170331,270324283,7000463.83196,0
2020-10-20,0.02587,0.02920,0.02528,0.02593,5501246168,2020-10-20 23:59:59.999,148344471.25319,354813,2762714582,74583865.78157,0
2020-10-21,0.02593,0.02758,0.02588,0.02669,2186733659,2020-10-21 23:59:59.999,58405915.67349,199150,1091846164,29169574.25739,0
2020-10-22,0.02670,0.02752,0.02667,0.02710,1163127532,2020-10-22 23:59:59.999,31613064.31373,138874,531368954,14443489.10183,0
2020-10-23,0.02710,0.02714,0.02625,0.02673,847288871,2020-10-23 23:59:59.999,22724613.44203,149021,384591689,10316355.83069,0
2020-10-24,0.02673,0.02733,0.02658,0.02707,570810602,2020-10-24 23:59:59.999,15358052.43031,177219,274500769,7387038.96716,0
2020-10-25,0.02707,0.02729,0.02662,0.02700,680605044,2020-10-25 23:59:59.999,18365222.07519,173210,327665347,8846687.64045,0
2020-10-26,0.02700,0.02753,0.02633,0.02677,1357006965,2020-10-26 23:59:59.999,36691087.66277,160460,608415730,16462742.37970,0
2020-10-27,0.02677,0.02717,0.02671,0.02700,656240923,2020-10-27 23:59:59.999,17682522.09216,161508,318049826,8573371.86455,0
2020-10-28,0.02700,0.02739,0.02660,0.02690,1029834366,2020-10-28 23:59:59.999,27767310.18754,175667,478452812,12907705.80158,0
2020-10-29,0.02690,0.02728,0.02635,0.02658,1034509356,2020-10-29 23:59:59.999,27813899.93365,168069,467403190,12572735.39046,0
2020-10-30,0.02658,0.02669,0.02522,0.02560,1011440664,2020-10-30 23:59:59.999,26075331.94347,188058,446279561,11509623.22683,0
2020-10-31,0.02560,0.02674,0.02544,0.02579,1081606504,2020-10-31 23:59:59.999,28189758.02536,241401,529668015,13805508.69285,0
2020-11-01,0.02579,0.02592,0.02538,0.02574,513972830,2020-11-01 23:59:59.999,13183728.88004,241178,244883124,6282713.22834,0
2020-11-02,0.02573,0.02589,0.02434,0.02444,1286850226,2020-11-02 23:59:59.999,32138821.13350,186961,586895640,14664683.42542,0
2020-11-03,0.02444,0.02451,0.02302,0.02441,1833229414,2020-11-03 23:59:59.999,43635492.65405,166209,904934281,21542108.80840,0
2020-11-04,0.02442,0.02444,0.02362,0.02420,1064496317,2020-11-04 23:59:59.999,25612412.17118,142360,519063083,12491762.41103,0
2020-11-05,0.02419,0.02511,0.02400,0.02494,891892719,2020-11-05 23:59:59.999,21902904.62888,160921,446348255,10959182.72879,0
2020-11-06,0.02494,0.02620,0.02490,0.02617,1446656217,2020-11-06 23:59:59.999,37039108.73219,149762,712927535,18259081.58471,0
2020-11-07,0.02617,0.02678,0.02440,0.02487,2135415911,2020-11-07 23:59:59.999,54928212.12489,196914,1094303327,28153016.72325,0
2020-11-08,0.02487,0.02567,0.02460,0.02535,754218359,2020-11-08 23:59:59.999,19057105.99982,153771,351806937,8890574.11046,0
2020-11-09,0.02535,0.02565,0.02465,0.02479,939101704,2020-11-09 23:59:59.999,23619363.40624,145949,464721623,11698323.59105,0
2020-11-10,0.02479,0.02532,0.02461,0.02485,651373045,2020-11-10 23:59:59.999,16248687.36774,130076,321367518,8020106.10511,0
2020-11-11,0.02485,0.02532,0.02484,0.02499,634656665,2020-11-11 23:59:59.999,15949290.28663,139069,301683212,7581320.81348,0
2020-11-12,0.02499,0.02524,0.02474,0.02492,529282386,2020-11-12 23:59:59.999,13235099.15624,164195,253818208,6348937.71247,0
