open_time,Open,High,Low,Close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-10-18,0.2407,0.2437,0.2401,0.2422,81171696.3,2020-10-18 23:59:59.999,19652616.68160,315058,37890553.4,9175929.41838,0
2020-10-19,0.2422,0.2497,0.2401,0.2457,264667127.0,2020-10-19 23:59:59.999,65056617.02350,296504,130473025.9,32064188.58766,0
2020-10-20,0.2457,0.2507,0.2413,0.2434,292779445.1,2020-10-20 23:59:59.999,71808700.17434,296876,134425884.3,32977337.09227,0
2020-10-21,0.2434,0.2558,0.2427,0.2511,423826557.4,2020-10-21 23:59:59.999,105829107.10751,332751,207140665.5,51732728.24332,0
2020-10-22,0.2512,0.2641,0.2000,0.2572,533089178.4,2020-10-22 23:59:59.999,137683896.37384,337515,243143294.0,62940204.47094,0
2020-10-23,0.2572,0.2596,0.2501,0.2552,274045745.0,2020-10-23 23:59:59.999,70016680.52091,308320,125710157.8,32139345.31149,0
2020-10-24,0.2552,0.2579,0.2527,0.2564,138482822.9,2020-10-24 23:59:59.999,35393600.37928,312689,63032997.5,16120155.41678,0
2020-10-25,0.2564,0.2573,0.2507,0.2534,121134421.3,2020-10-25 23:59:59.999,30712260.53703,308863,54050717.2,13708250.91179,0
2020-10-26,0.2534,0.2594,0.2433,0.2481,281495690.0,2020-10-26 23:59:59.999,70806091.34273,307876,127173619.3,32013131.75945,0
2020-10-27,0.2481,0.2543,0.2475,0.2526,202808883.4,2020-10-27 23:59:59.999,50953944.71560,292067,91299224.1,22942212.49174,0
2020-10-28,0.2526,0.2568,0.2443,0.2454,252472101.0,2020-10-28 23:59:59.999,62907684.34245,313845,117447101.5,29280081.96447,0
2020-10-29,0.2454,0.2471,0.2390,0.2424,191061959.2,2020-10-29 23:59:59.999,46568587.50436,303123,88371025.1,21556212.73327,0
2020-10-30,0.2424,0.2440,0.2290,0.2388,247709246.2,2020-10-30 23:59:59.999,58690455.35943,315132,112531011.3,26688247.35143,0
2020-10-31,0.2388,0.2435,0.2373,0.2396,115291783.6,2020-10-31 23:59:59.999,27708148.93527,317760,57654907.9,13855844.60114,0
2020-11-01,0.2395,0.2415,0.2363,0.2398,95482701.0,2020-11-01 23:59:59.999,22825930.52595,300133,44922340.9,10746497.59974,0
2020-11-02,0.2398,0.2449,0.2324,0.2353,204654753.0,2020-11-02 23:59:59.999,48656349.62565,287839,97431984.1,23176075.71909,0
2020-11-03,0.2353,0.2442,0.2273,0.2394,388482925.3,2020-11-03 23:59:59.999,91998299.75943,320693,189475244.0,44905860.35169,0
2020-11-04,0.2394,0.2405,0.2318,0.2373,285619024.3,2020-11-04 23:59:59.999,67509027.84735,268630,134807891.0,31873997.81280,0
2020-11-05,0.2373,0.2474,0.2368,0.2456,329013692.7,2020-11-05 23:59:59.999,79644910.85123,291838,160548047.0,38887892.56998,0
2020-11-06,0.2457,0.2618,0.2410,0.2588,600485180.5,2020-11-06 23:59:59.999,153170800.44756,319300,283972352.3,72490607.36389,0
2020-11-07,0.2588,0.2681,0.2439,0.2490,574622772.7,2020-11-07 23:59:59.999,147830024.88551,350446,263978777.2,67985279.46800,0
2020-11-08,0.2489,0.2571,0.2471,0.2538,188656630.0,2020-11-08 23:59:59.999,47725043.20263,275119,89298515.9,22597217.33028,0
2020-11-09,0.2538,0.2562,0.2455,0.2507,280563259.6,2020-11-09 23:59:59.999,70385999.62058,258726,128787856.2,32321375.47832,0
2020-11-10,0.2508,0.2650,0.2480,0.2543,534189809.7,2020-11-10 23:59:59.999,137083729.39829,334167,252631919.8,64836373.23525,0
2020-11-11,0.2542,0.2602,0.2526,0.2560,308608289.8,2020-11-11 23:59:59.999,79280145.08006,279912,143759658.4,36949130.80189,0
2020-11-12,0.2560,0.2584,0.2523,0.2551,223950750.2,2020-11-12 23:59:59.999,57196665.71771,262573,105518058.3,26960115.51517,0
2020-11-13,0.2551,0.2662,0.2535,0.2662,385196165.1,2020-11-13 23:59:59.999,100198541.88635,299766,194297044.1,50576956.13307,0
2020-11-14,0.2662,0.2778,0.2614,0.2683,655267307.0,2020-11-14 23:59:59.999,176214054.75121,394484,309771994.9,83359650.12913,0
