RSI_MIN_LONG,RSI_MAX_SHORT,MOM20_MIN,MOM60_MIN,MOM20_MAX_SHORT,MOM60_MAX_SHORT,SMA60_FILTER_ON,VOLR20_MIN,PVCORR_MIN,RELMOM_MIN,BETA_MAX,ALLOW_SHORT,REGIME_ON_MIN_BREADTH,REGIME_OFF_MAX_BREADTH,REGIME_BTC_SMA60_ON,REGIME_BTC_RSI_MIN,CLOSE_ALL_ON_REGIME_OFF,MAX_COINS,WEIGHTING,MAX_GROSS_EXPOSURE,FIXED_FRACTION_PER_TRADE,SL_ATR_MULT,TP_ATR_MULT,STOP_TP_PRIORITY,COOLDOWN_AFTER_EXIT,FEE_IN,FEE_OUT,SLIPPAGE,START,END,SYMBOLS,INITIAL_CAPITAL,cagr,vol,sharpe,mdd,final_equity
50,30,0.1,0.1,0.0,0.02,True,1.0,0.2,0.05,2.0,False,0.45,0.4,True,45,False,2,inv_vol,1.0,0.2,2.0,3.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.2942272178633967,0.2145655744219949,1.3090907623550738,-0.20636969829866914,3631220.691270233
65,30,0.1,0.1,0.0,0.0,True,1.0,0.2,0.05,2.0,False,0.6,0.35,True,60,False,1,inv_vol,1.0,0.3,3.0,3.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.34247023615958194,0.24866545785371602,1.3033612298973187,-0.23324410430028553,4360369.857580973
50,35,-0.3,-0.2,0.0,-0.02,True,1.0,0.1,0.02,1.5,False,0.5,0.35,False,45,False,3,equal,1.0,0.2,2.5,3.0,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.39147542252784584,0.2842846767712085,1.3033207815551617,-0.44536308397403535,5216481.832744474
55,40,0.0,0.1,-0.02,0.02,True,1.5,0.2,0.0,3.0,False,0.5,0.45,False,50,False,2,inv_vol,1.0,0.25,3.0,3.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.4100946896978783,0.2981326450306905,1.2977730602948734,-0.3292967900539995,5574955.246312081
50,30,0.1,-0.3,-0.02,-0.02,True,1.5,0.2,0.0,2.0,False,0.55,0.45,True,50,False,1,equal,1.0,0.2,3.0,3.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.26228271537411785,0.19358938654430233,1.296815183086036,-0.174287178692753,3204668.983004376
60,35,0.0,0.0,0.02,0.0,False,1.0,0.1,0.0,2.0,False,0.55,0.4,True,55,True,2,inv_vol,1.0,0.3,2.5,2.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.4499508672736092,0.3292602922905884,1.2922764980878674,-0.4622938606472775,6408648.178471619
55,25,-0.2,-0.2,-0.02,-0.02,True,1.5,0.0,0.0,3.0,False,0.45,0.4,False,55,False,3,equal,1.0,0.25,2.0,3.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.43651515410981556,0.32196172279637714,1.2840125733899397,-0.2722829611932922,6117177.170997733
55,30,0.0,-0.3,0.02,0.0,True,1.5,0.2,0.0,2.0,False,0.55,0.35,True,55,False,2,inv_vol,1.0,0.3,2.0,3.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.4049313004149626,0.3014424012779424,1.2757537461866932,-0.3178327223160914,5473630.051246403
60,40,0.0,-0.3,0.02,0.02,True,1.5,0.0,0.0,2.5,False,0.45,0.45,False,55,False,3,inv_vol,1.0,0.2,2.0,3.0,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.3372404271590739,0.2547984355322256,1.2663242389291867,-0.21878350441543182,4276096.407114435
50,40,-0.2,0.1,0.0,-0.02,True,1.5,0.0,0.0,2.0,False,0.5,0.35,True,50,False,1,inv_vol,1.0,0.25,2.0,3.0,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.2755143375036502,0.20914579837484956,1.264449415799935,-0.23480712580118568,3376188.7892166963
50,35,-0.2,-0.2,-0.02,0.02,True,1.0,0.2,0.02,2.0,False,0.5,0.4,True,60,False,1,inv_vol,1.0,0.25,3.0,3.0,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.27693803783193194,0.21065541862168718,1.2631020413358356,-0.13145932892514167,3395073.0273134448
60,40,0.1,-0.2,-0.02,0.02,True,2.0,0.1,0.0,2.0,False,0.6,0.35,True,60,True,2,equal,1.0,0.25,2.0,3.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.2595512205377919,0.19843292686342245,1.2613562098531244,-0.1830355617535594,3170145.280690072
55,40,-0.2,-0.2,0.02,0.02,True,1.5,0.2,0.02,1.5,False,0.5,0.45,False,60,True,3,inv_vol,1.0,0.2,2.0,3.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.265360401797609,0.20378680423638995,1.255109341889481,-0.22488437346673673,3243927.9346692087
65,25,-0.2,-0.3,0.02,0.02,True,1.0,0.0,0.0,1.5,False,0.55,0.4,True,45,True,3,equal,1.0,0.3,3.0,2.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.49827473666318234,0.3805895089809898,1.2529988879473144,-0.4092398830474737,7550179.614317263
60,40,-0.3,0.1,0.02,0.02,True,1.0,0.2,0.05,1.5,False,0.5,0.35,True,60,False,2,inv_vol,1.0,0.3,2.5,3.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.35676375632694435,0.2748145118967795,1.2460027273666252,-0.2756027613995491,4597493.967776826
65,25,-0.3,-0.2,-0.02,0.02,True,1.0,0.0,0.0,1.5,False,0.5,0.35,False,55,True,3,inv_vol,1.0,0.3,3.0,3.0,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.5219241273046848,0.40371521478710315,1.2385494654575717,-0.3914184921178012,8165165.843386322
50,30,0.0,-0.2,0.0,-0.02,True,1.0,0.1,0.02,2.0,False,0.55,0.45,True,60,False,2,equal,1.0,0.2,2.5,2.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.25953985132141266,0.20300512083634503,1.2381079460185744,-0.2622723753600118,3170002.208235345
50,40,0.0,0.0,0.0,0.0,True,1.0,0.1,0.05,1.5,False,0.5,0.35,True,45,False,3,equal,1.0,0.15,2.5,3.0,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.25754309659132035,0.20144082978706687,1.2375377563643875,-0.33182842857628625,3144954.6496976675
50,25,0.0,-0.2,0.0,0.02,True,1.0,0.0,0.0,2.5,False,0.55,0.35,False,50,True,3,inv_vol,1.0,0.3,3.0,3.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.6039761919037836,0.4705478472588833,1.2359284929140597,-0.4611271433679125,10616701.049402447
65,30,-0.3,-0.3,0.02,0.0,True,1.5,0.1,0.0,2.0,False,0.6,0.45,True,50,True,2,equal,1.0,0.2,2.0,3.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.24665476270967446,0.19440627051376705,1.2296444976041,-0.16892588844556977,3011140.378865697
50,30,-0.2,-0.3,-0.02,0.02,True,1.0,0.0,0.02,1.5,False,0.45,0.45,True,55,False,3,inv_vol,1.0,0.25,2.0,3.0,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.4499209588519846,0.3523933166105629,1.2272769042642442,-0.3590543658946185,6407987.24350851
55,40,0.0,-0.2,-0.02,0.0,True,1.5,0.0,0.0,2.0,False,0.45,0.45,True,55,False,1,equal,1.0,0.15,2.0,3.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.1608194164604717,0.12820075257572294,1.2260592022893035,-0.17285940290565127,2107770.4840159738
50,25,0.1,0.0,0.02,0.02,True,1.0,0.0,0.0,1.5,False,0.6,0.45,False,55,True,3,inv_vol,1.0,0.2,2.0,3.0,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.3321590661916394,0.26212117354997566,1.2241397431773227,-0.26370622493928253,4195468.105626134
50,40,0.0,-0.3,-0.02,-0.02,True,1.2,0.0,0.0,1.5,False,0.6,0.4,True,50,False,1,equal,1.0,0.25,3.0,3.0,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.24832204945043412,0.19718532137495956,1.223818677911223,-0.18410144737853673,3031329.934524689
60,35,-0.2,0.1,0.0,0.02,True,1.5,0.2,0.02,2.0,False,0.6,0.35,True,50,False,3,equal,1.0,0.2,2.5,3.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.311428872854312,0.2459422118317812,1.222936265722022,-0.23730046246952374,3879035.0610978846
50,25,-0.2,-0.2,0.0,-0.02,False,1.2,0.1,0.05,1.5,False,0.55,0.35,True,60,False,1,equal,1.0,0.25,3.0,3.0,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.21039864694158883,0.16796826199060844,1.2207665864711863,-0.196820182848358,2598017.9519971823
65,30,-0.2,0.0,0.0,-0.02,True,1.0,0.0,0.0,2.5,False,0.45,0.35,True,55,False,2,inv_vol,1.0,0.15,2.5,2.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.1944337846508648,0.15560663320177215,1.219796011386497,-0.23153507699505194,2431142.3836155063
55,25,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,2.5,False,0.55,0.45,True,50,True,2,inv_vol,1.0,0.25,2.5,2.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.36230906989888867,0.28856194818453074,1.2154443491988456,-0.41812555774312066,4692218.638060303
50,30,0.0,0.1,0.0,0.02,True,1.5,0.2,0.02,2.0,False,0.45,0.35,True,60,False,2,equal,1.0,0.3,2.5,3.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.3655950717178913,0.29093356543667204,1.212642224747582,-0.3141467765517898,4749082.388774901
55,35,0.1,-0.2,-0.02,0.0,True,1.0,0.0,0.0,2.0,False,0.55,0.35,False,50,True,2,inv_vol,1.0,0.25,2.0,2.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.35187510770535546,0.282290995441472,1.2087934267162588,-0.3139183261935802,4515260.975049692
50,30,-0.3,0.1,0.02,-0.02,False,1.5,0.1,0.02,2.0,False,0.5,0.45,True,50,True,1,equal,1.0,0.3,2.0,2.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.31746604696413083,0.2537868289095186,1.2084002953849753,-0.18202480043646174,3969146.7671236293
55,35,0.1,0.1,0.02,0.02,True,1.5,0.2,0.0,2.5,False,0.6,0.45,True,45,True,3,inv_vol,1.0,0.3,3.0,3.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.45030044788477075,0.36119056444433206,1.2048079593824446,-0.3614193885351584,6416377.473793635
50,25,0.1,-0.3,0.0,0.0,True,1.0,0.0,0.05,1.5,False,0.45,0.45,True,60,False,1,inv_vol,1.0,0.3,2.0,2.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.24564215785157817,0.19921971858566614,1.2021759824129887,-0.2346079522503941,2998931.120188842
65,30,-0.2,-0.3,-0.02,0.02,True,2.0,0.1,0.0,2.0,False,0.45,0.35,True,55,False,2,equal,1.0,0.2,3.0,3.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.2546440518314512,0.20600815775344025,1.201158234439767,-0.1940659123262637,3108870.7009462416
55,30,0.0,0.1,-0.02,0.0,True,1.0,0.1,0.02,1.5,False,0.5,0.45,True,50,False,2,equal,1.0,0.2,3.0,3.0,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.3135107361117331,0.2533406330966692,1.1998806469928875,-0.23472289788329692,3909922.3672846663
55,30,0.0,0.0,0.02,-0.02,True,1.0,0.0,0.0,2.0,False,0.6,0.35,True,60,True,1,inv_vol,1.0,0.3,3.0,2.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.23903364051590992,0.1944061383754081,1.1994102997013307,-0.29092574393824233,2920219.451603261
65,30,0.0,0.1,0.0,0.02,True,1.5,0.2,0.02,3.0,False,0.6,0.35,True,55,False,3,equal,1.0,0.15,2.0,3.0,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.19137445198057645,0.1564414168430957,1.1964198808421989,-0.17118065885226164,2400166.7435810277
50,25,-0.3,0.0,0.0,0.02,True,1.2,0.2,0.05,1.5,False,0.5,0.4,True,60,False,1,equal,1.0,0.3,3.0,2.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.24034799853583344,0.19617772730610103,1.1962159515457165,-0.2769774249471352,2935741.0866609775
55,30,0.1,0.0,-0.02,0.0,True,1.5,0.0,0.0,3.0,False,0.5,0.45,True,45,False,3,equal,1.0,0.15,2.0,3.0,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.2370005122692045,0.19332830913734844,1.195913026880484,-0.2134444998952938,2896339.0346944765
65,30,-0.3,-0.2,-0.02,-0.02,True,1.5,0.0,0.0,1.5,False,0.55,0.35,True,50,False,3,equal,1.0,0.25,2.0,2.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.3364708376683778,0.2734431236313331,1.1943844347745407,-0.30144964043698375,4263805.9723669635
55,30,-0.3,0.0,0.02,-0.02,True,1.0,0.2,0.02,1.5,False,0.55,0.4,True,50,True,1,inv_vol,1.0,0.2,2.5,3.0,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.20053679039365835,0.16404419245708082,1.1942865153862472,-0.14101058883107098,2493890.4241562905
60,25,-0.2,-0.3,0.02,-0.02,True,1.0,0.0,0.02,2.0,False,0.55,0.35,False,55,False,2,equal,1.0,0.15,3.0,3.0,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.22990435307750023,0.18791462235230944,1.1934329370399754,-0.23070988467820785,2814211.2393844393
60,30,-0.3,-0.3,-0.02,0.0,False,1.0,0.1,0.05,1.5,False,0.6,0.4,False,50,True,3,inv_vol,1.0,0.25,3.0,3.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.42517328375232477,0.3462372174094783,1.1931406859299796,-0.4884915372640196,5879472.487078079
55,35,0.0,-0.3,-0.02,0.02,True,1.0,0.0,0.02,2.0,False,0.55,0.45,False,55,True,2,equal,1.0,0.25,2.0,3.0,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.3370199809148069,0.27451380649691254,1.192799210766411,-0.2840128299328366,4272572.962000847
60,40,0.0,-0.3,0.02,-0.02,True,1.5,0.0,0.05,2.0,False,0.55,0.4,True,50,False,2,inv_vol,1.0,0.15,2.0,3.0,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.2068830609242427,0.16952883925393084,1.1927388784802742,-0.19615431541475759,2560506.9513192186
55,35,-0.2,0.0,-0.02,0.0,True,1.5,0.0,0.0,2.0,False,0.5,0.4,True,50,False,1,equal,1.0,0.2,3.0,3.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.24303464550617093,0.1984067365701353,1.1923422574111469,-0.19613380917255274,2967673.8283426445
50,35,-0.3,0.1,0.02,0.0,False,1.5,0.2,0.0,1.5,False,0.55,0.45,True,50,False,2,inv_vol,1.0,0.25,2.0,2.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.31485232011404496,0.2565486620383259,1.1921322582424985,-0.26506255647028865,3929930.6371168927
60,30,-0.2,-0.2,0.0,0.02,True,1.5,0.1,0.0,2.0,False,0.45,0.45,False,60,True,1,equal,1.0,0.25,2.5,3.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.19329880991765958,0.15887252928599568,1.191707091970374,-0.165990957353926,2419613.714806991
55,35,0.1,0.0,0.0,-0.02,False,1.0,0.1,0.0,1.5,False,0.55,0.4,True,55,False,2,inv_vol,1.0,0.2,2.5,2.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.2541487917108587,0.20837533753391232,1.1909438206792484,-0.17158125481640285,3102739.541320059
65,40,-0.3,0.0,-0.02,0.02,True,1.0,0.1,0.02,1.5,False,0.5,0.4,True,50,True,1,equal,1.0,0.25,2.5,3.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.26274981176967627,0.21458888738706702,1.1907810063355697,-0.20687395152197952,3210602.6678422806
60,30,0.1,-0.3,0.0,-0.02,True,1.0,0.1,0.02,2.0,False,0.45,0.35,True,50,True,1,inv_vol,1.0,0.25,2.5,3.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.28832047028712715,0.23544511009472116,1.1902486988683008,-0.2948083217346127,3549110.6300052265
60,35,-0.2,0.1,0.02,0.02,True,1.2,0.1,0.0,1.5,False,0.5,0.35,True,50,True,1,equal,1.0,0.2,2.5,3.0,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.17150494805645944,0.14159018261197123,1.188939288772628,-0.148437719962073,2206584.8713934463
65,40,0.0,-0.2,0.02,0.0,True,1.0,0.1,0.0,2.5,False,0.5,0.35,True,55,False,1,inv_vol,1.0,0.25,3.0,3.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.2597855789536263,0.21307818901085118,1.187090106462449,-0.20313057138670543,3173095.6440391922
